param_optimiser,param_neurons,mean_test_score
adam,32,-5.0922031959999003e-05
adam,64,-2.073871937646743e-05
adam,128,-2.4123592723412912e-06
sgd,32,-0.004077911115018651
sgd,64,-0.017204071715241298
sgd,128,-0.003518708654155489
