param_optimiser,param_neurons,mean_test_score
adam,32,-5.0166843060139854e-05
adam,64,-3.993350712860888e-05
adam,128,-3.195467380123773e-05
sgd,32,-0.0015564510831609368
sgd,64,-0.0012004930176772177
sgd,128,-0.002984544262290001
