loss,mse,val_loss,val_mse
1.022251308313571e-05,1.022251308313571e-05,0.0006319225067272782,0.0006319224485196173
1.0081513437398826e-06,1.0081513437398826e-06,0.0003787513996940106,0.0003787513996940106
6.821099987064372e-07,6.821099987064372e-07,0.0002970700734294951,0.0002970700734294951
5.325633765096427e-07,5.325633765096427e-07,0.00036740145878866315,0.00036740145878866315
4.180973007805733e-07,4.180973007805733e-07,0.00026394895394332707,0.00026394895394332707
3.8196094465092756e-07,3.8196094465092756e-07,0.000313906988594681,0.000313906988594681
3.151381804400444e-07,3.151381804400444e-07,0.00027107633650302887,0.00027107633650302887
3.1204200467982446e-07,3.1204200467982446e-07,0.00026781062479130924,0.00026781062479130924
2.9844773052900564e-07,2.9844773052900564e-07,0.0003253361792303622,0.0003253361792303622
2.972388131183834e-07,2.972388131183834e-07,0.000353856390574947,0.000353856390574947
2.763599411537143e-07,2.763599411537143e-07,0.00037065570359118283,0.00037065570359118283
2.517029429327522e-07,2.517029429327522e-07,0.0003188767295796424,0.0003188767295796424
2.3838357776639896e-07,2.3838357776639896e-07,0.00028465111972764134,0.00028465111972764134
2.2816524847257824e-07,2.2816524847257824e-07,0.00027677143225446343,0.00027677143225446343
2.3986100927686493e-07,2.3986100927686493e-07,0.00032441667281091213,0.00032441667281091213
